Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Lee, S.-G., Kang, B.-R., Kim, H.-S., Park, H.-H., Park, H.-R., Yoon, S.-K., Nam, S.-H.","57195761596; 57195757974; 57206211694; 57195760840; 57203771880; 57195754844; 35794742100","Changes in the number of bacteria in a toothbrush according to the toothbrush management method",2017,"Biomedical Research (India)",28,"16",,7306,7310,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029744541&partnerID=40&md5=0118ac1b88d48ff1790b6df15c69ebc7",Article,Final,,Scopus,2-s2.0-85029744541
"Majchrzak, K., Szymanek-Majchrzak, K., Mierzwińska-Nastalska, E., Rolski, D.","56522825200; 54382310700; 24335650000; 6504143520","Denture plaque microbiology in relation to removable denture hygiene methods | Mikrobiologia płytki protez w odniesieniu do metod higieny ruchomych uzupełnień protetycznych",2017,"Protetyka Stomatologiczna",67,"1",,18,27,,2,10.5604/00331783.1233258,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029143936&partnerID=40&md5=ae6c09c64c5c0af2ded5f1f7f65d5b31",Article,Final,,Scopus,2-s2.0-85029143936
"Dadalto, E.C.V., de Andrade, K.S., Gomes, A.M.M., Sarmento, L.C., Rosa, E.M.","55851149600; 57195592881; 57189593456; 57189593235; 55479830200","Behavior during tooth brushing in the home environment in preterm and full-term infants",2017,"Pesquisa Brasileira em Odontopediatria e Clinica Integrada",17,"1", e3181,,,,3,10.4034/PBOCI.2017.171.42,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028963304&partnerID=40&md5=740da040329b8a817bf05b4fae43146d",Article,Final,Open Access,Scopus,2-s2.0-85028963304
"Joshi, C.P., Patil, A.G., Karde, P.A., Mahale, S.A., Dani, N.H.","56937986600; 57195294193; 57192681326; 57197558571; 55346088500","Comparative evaluation of cemental abrasion caused by soft and medium bristle hardness toothbrushes at three predetermined toothbrushing forces: An in vitro study",2017,"Journal of Indian Society of Periodontology",21,"1",,10,15,,,10.4103/jisp.jisp_118_17,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039991372&partnerID=40&md5=59c023586d024f9cb1e77d1c244e6554",Article,Final,Open Access,Scopus,2-s2.0-85039991372
"Al Habashneh, R., Farasin, R., Khader, Y.","25622179600; 57193133312; 55654192600","The effect of a triclosan/copolymer/fluoride toothpaste on plaque formation, gingivitis, and dentin hypersensitivity: A single-blinded randomized clinical study",2017,"Quintessence International",48,"2",,123,130,,4,10.3290/j.qi.a37384,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011105991&partnerID=40&md5=24bfe178cb507b5711924e0ecf526db6",Article,Final,,Scopus,2-s2.0-85011105991
"Sajid, H., Athar, Y., Sagheer, A., Yazdanie, N., Arshad, A., Shahid, F.","57203014072; 55274127300; 56330788400; 14053360000; 57203025334; 56073275700","Association between tooth loss and oral awareness amongst dentate and partially dentate subjects of Pakistani population",2017,"Journal of International Dental and Medical Research",10,"3",,877,882,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050277313&partnerID=40&md5=28454afd15ac6693ccf39952d24f198f",Article,Final,,Scopus,2-s2.0-85050277313
"Matsuo, M., Okudera, T., Takahashi, S.-S., Wada-Takahashi, S., Maeda, S., Iimura, A.","55276215700; 57196801733; 55882676500; 14624555700; 57192196701; 6602194210","Microcirculation alterations in experimentally induced gingivitis in dogs",2017,"Anatomical Science International",92,"1",,112,117,,1,10.1007/s12565-015-0324-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85000416403&partnerID=40&md5=b0f08abde928b15f33924121fe97f873",Article,Final,,Scopus,2-s2.0-85000416403
"Dilip Kumar, M., Subash Sharma, S.","35737232100; 7405877841","Do composites induce secondary caries formation?-A review",2017,"Research Journal of Pharmacy and Technology",10,"1",,362,364,,,10.5958/0974-360X.2017.00073.7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014295044&partnerID=40&md5=ab86e9ab2d44eba0a71b6d34cc78df52",Review,Final,,Scopus,2-s2.0-85014295044
"Sulewska, M., Pietruski, J., Sulima, E., Świsłocki, R., Paniczko, A., Duraj, E., Pietruska, M.","56829441100; 57197212517; 57193759675; 57193755860; 16550773900; 16244842300; 6603467844","Periodontal status of białystok citizens aged 65–74 years: A pilot study | Stan przyzębia mieszkańców białegostoku w wieku od 65 do 74 lat – badania wstępne",2017,"Dental and Medical Problems",54,"2",,173,178,,4,10.17219/dmp/70772,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021829869&partnerID=40&md5=09247c5e740acffad9d6661c097e4337",Article,Final,Open Access,Scopus,2-s2.0-85021829869
"Rösing, C.K., Cavagni, J., Gaio, E.J., Muniz, F.W.M.G., Ranzan, N., Oballe, H.J.R., Friedricht, S.A., Severo, R.M., Stewart, B., Zhang, Y.P.","6602449218; 22978677700; 18534897800; 56717701500; 57194745942; 57192157247; 57204581041; 57194746215; 7202105881; 56668806000","Efficacy of two mouthwashes with cetylpyridinium chloride: A controlled randomized clinical trial",2017,"Brazilian Oral Research",31,"", e47,,,,2,10.1590/1807-3107BOR-2017.vol31.0047,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028015084&partnerID=40&md5=30098c25c29443ad3197ff29990f41ae",Article,Final,Open Access,Scopus,2-s2.0-85028015084
"Achmad, H., Ramadhany, Y.F.","57191342583; 57195358836","Effectiveness of chitosan tooth paste from white shrimp (Litopenaeusvannamei) to reduce number of Streptococcus mutans in the case of early childhood caries",2017,"Journal of International Dental and Medical Research",10,"2",,358,363,,19,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027461948&partnerID=40&md5=f81ebb6ae53e0f407dde7b0a52a7bf6e",Article,Final,,Scopus,2-s2.0-85027461948
"He, T., Farrell, S.","12761613300; 14119531300","The case for stabilized stannous fluoride dentifrice: An advanced formulation designed for patient preference",2017,"Journal of Clinical Dentistry",28,"4",,B1,B5,,6,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041176479&partnerID=40&md5=ba7d01f6cd3efd11e5b5ade49f0d1aa4",Article,Final,,Scopus,2-s2.0-85041176479
"He, T., Eusebio, R., Goyal, C.R., Qaqish, J.G.","12761613300; 57208053236; 8978896000; 6603888945","Assessment of the effects of a novel stabilized stannous fluoride dentifrice on gingivitis in a two-month positive-controlled clinical study",2017,"Journal of Clinical Dentistry",28,"4",,B12,B16,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041202731&partnerID=40&md5=821ce86f02c4bd4fe1f8b6e40146d8a3",Article,Final,,Scopus,2-s2.0-85041202731
"Geidel, A., Krüger, M., Schrödl, W., Jentsch, H.","57196003887; 7102550619; 6603496249; 6701791009","Control of plaque and gingivitis by an herbal toothpaste - A randomised controlled study",2017,"Oral Health and Preventive Dentistry",15,"5",,407,413,,1,10.3290/j.ohpd.a38975,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030854158&partnerID=40&md5=5e300c1fbed494efdf85d9077cbc07b6",Article,Final,,Scopus,2-s2.0-85030854158
"Wierichs, R.J., Zelck, H., Doerfer, C.E., Appel, P., Paris, S., Esteves-Oliveira, M., Meyer-Lueckel, H.","56429423800; 57103742000; 56958546800; 7005660656; 12786994200; 35782921600; 57207585085","Effects of dentifrices differing in fluoride compounds on artificial enamel caries lesions in vitro",2017,"Odontology",105,"1",,36,45,,4,10.1007/s10266-016-0233-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84957556225&partnerID=40&md5=1ef78e5c6ae764aadfee394b8168b825",Article,Final,,Scopus,2-s2.0-84957556225
"Baratti-Mayer, D., Gayet-Ageron, A., Cionca, N., Mossi, M.A., Pittet, D., Mombelli, A.","8755168800; 14051816900; 14420693300; 57208350609; 7102541220; 7006180872","Acute necrotising gingivitis in young children from villages with and without noma in Niger and its association with sociodemographic factors, nutritional status and oral hygiene practices: Results of a population-based survey",2017,"BMJ Global Health",2,"3", e000253,,,,1,10.1136/bmjgh-2016-000253,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054784047&partnerID=40&md5=32790a61ddd01672995eec2b3aa8f532",Review,Final,Open Access,Scopus,2-s2.0-85054784047
"Shahabudin, S., Hashim, H., Omar, M.","57060379200; 57201537877; 26040986500","The effectiveness of dental health education tools for visually impaired students in Bukit Mertajam",2016,"AIP Conference Proceedings",1791,"", 010012,,,,,10.1063/1.4968866,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85008675647&partnerID=40&md5=b098f964bf64518c3e0e5be8d079aef3",Conference Paper,Final,Open Access,Scopus,2-s2.0-85008675647
"Akhionbare, O., Ehizele, A.O.","23471704500; 35811965800","Use of dental floss: opinion of present and future oral health workers",2016,"Odonto-stomatologie tropicale = Tropical dental journal",39,"156",,40,48,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055077021&partnerID=40&md5=7ab3b9200abbdb77db1cb38a9dba9d2d",Article,Final,,Scopus,2-s2.0-85055077021
"Bourgeois, D., Saliasi, I., Llodra, J.C., Bravo, M., Viennot, S., Carrouel, F.","7007021981; 57191909586; 6603014553; 7103121034; 55906650400; 25652863500","Efficacy of interdental calibrated brushes on bleeding reduction in adults: a 3-month randomized controlled clinical trial",2016,"European Journal of Oral Sciences",124,"6",,566,571,,5,10.1111/eos.12302,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84994719698&partnerID=40&md5=acba0aba65200210c1837ef083bca466",Article,Final,,Scopus,2-s2.0-84994719698
"Marotte, H.","15735248300","Tooth-brushing: An impact on rheumatoid arthritis",2016,"Joint Bone Spine",83,"6",,619,621,,4,10.1016/j.jbspin.2016.05.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979663046&partnerID=40&md5=fbd3c5b69dcc9a7dad6a654f0da83c63",Editorial,Final,,Scopus,2-s2.0-84979663046
"Valkenburg, C., Slot, D.E., Bakker, E.W.P., Van der Weijden, F.A.","57191443242; 16176381400; 7202451919; 6602878074","Does dentifrice use help to remove plaque? A systematic review",2016,"Journal of Clinical Periodontology",43,"12",,1050,1058,,12,10.1111/jcpe.12615,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84990230787&partnerID=40&md5=98e24d56bae4b26d06009ca496fd758e",Review,Final,,Scopus,2-s2.0-84990230787
"Detailleur, V., Vansteenkiste, G., Renard, M., Verdonck, A.","56073035700; 57192110525; 57192118353; 55404067000","Dental care approach in patients with osteopetrosis",2016,"European Archives of Paediatric Dentistry",17,"6",,435,443,,2,10.1007/s40368-016-0251-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84997605084&partnerID=40&md5=64b24f2ae9f1e757f39fbc147322df67",Article,Final,,Scopus,2-s2.0-84997605084
"Lujo, M., Meštrović, M., Malcić, A.I., Karlović, Z., Matijević, J., Jukić, S.","57193745926; 57193750011; 55956223800; 6603248022; 37117393200; 7003388775","Knowledge, attitudes and habits regarding oral health in first- and final-year dental students",2016,"Acta Clinica Croatica",55,"4",,636,643,,2,10.20471/acc.2016.55.04.15,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016245838&partnerID=40&md5=e450460ce1ca16e7a4ca1e7fe767b726",Article,Final,Open Access,Scopus,2-s2.0-85016245838
"Schmickler, J., Wurbs, S., Wurbs, S., Kramer, K., Rinke, S., Hornecker, E., Mausberg, R.F., Ziebolz, D.","56310865800; 56309875600; 56309875700; 36613410700; 16305335800; 6603590446; 6701323292; 18435587400","The influence of the utilization time of brush heads from different types of power toothbrushes on oral hygiene assessed over a 6-month observation period: A randomized clinical trial",2016,"American Journal of Dentistry",29,"6",,307,314,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014954807&partnerID=40&md5=63f611314b3361510da5302a17bf66b8",Article,Final,,Scopus,2-s2.0-85014954807
"Ueno, D., Nagano, T., Watanabe, T., Shirakawa, S., Yashima, A., Gomi, K.","55891065000; 7202185934; 57190856825; 56517709000; 7003670682; 56088555500","Effect of the Keratinized Mucosa Width on the Health Status of Periimplant and Contralateral Periodontal Tissues: A Cross-sectional Study",2016,"Implant Dentistry",25,"6",,796,801,,8,10.1097/ID.0000000000000483,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84983499602&partnerID=40&md5=814e9ff859b99ca42bc57e79c8cf1445",Article,Final,,Scopus,2-s2.0-84983499602
"Chiang, Y.-C., Lai, E.H.-H., Kunzelmann, K.-H.","57143573900; 23501789100; 35330054400","Polishing mechanism of light-initiated dental composite: Geometric optics approach",2016,"Journal of the Formosan Medical Association",115,"12",,1053,1060,,,10.1016/j.jfma.2015.10.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949950351&partnerID=40&md5=26986a2e3535a67abdc138642f725efd",Article,Final,Open Access,Scopus,2-s2.0-84949950351
"Rosing, C.K., Cavagni, J., Gaio, E.J., Muniz, F.W., Oballe, H.J., Ranzan, N., Friedrich, S.A., Severo, R.M., Gittins, E., Stewart, B., Zhang, Y.P.","6602449218; 22978677700; 18534897800; 56717701500; 57192157247; 57194745942; 57193676453; 57194746215; 6506288967; 7202105881; 56668806000","Efficacy of two soft-bristle toothbrushes in plaque removal: a randomized controlled trial",2016,"Brazilian oral research",30,"1",,e134,,,1,10.1590/1807-3107BOR-2016.vol30.0134,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021854772&partnerID=40&md5=161b28203de3a77f15a9c0952a985154",Article,Final,Open Access,Scopus,2-s2.0-85021854772
"Deinzer, R., Harnacke, D., Mengel, R., Telzer, M., Lotzmann, U., Wöstmann, B.","6602505197; 55224052700; 57204376235; 57191723341; 56635614800; 22635950600","Effectiveness of computer-based training on toothbrush skills of patients treated with crowns: A randomized controlled trial",2016,"Journal of Periodontology",87,"11",,1333,1342,,6,10.1902/jop.2016.160099,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992560665&partnerID=40&md5=92dab2004a0f526ba29ef0dd337a6921",Article,Final,,Scopus,2-s2.0-84992560665
"Kurtz, B., Reise, M., Klukowska, M., Grender, J.M., Timm, H., Sigusch, B.W.","57189090562; 54880483000; 14052090900; 6506117699; 55371842500; 6603628424","A randomized clinical trial comparing plaque removal efficacy of an oscillating–rotating power toothbrush to a manual toothbrush by multiple examiners",2016,"International Journal of Dental Hygiene",14,"4",,278,283,,7,10.1111/idh.12225,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84965096103&partnerID=40&md5=e13af855861b4e1b7e4c68c85e53b380",Article,Final,,Scopus,2-s2.0-84965096103
"Kablian, A., Ramamurthy, J.","57192065303; 54885472400","Efficacy of oil infused toothpaste against oil pulling: A study",2016,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",7,"6",,1,5,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84996486053&partnerID=40&md5=5952f7d28ba38be82c63af25e22b1e0e",Article,Final,,Scopus,2-s2.0-84996486053
"Luís, H.S., Luis, L.S., Bernardo, M.","6602751823; 57193268171; 7103259020","In vitro study of the effect of an essential oil and a delmopinol mouth rinse on dental plaque bacteria",2016,"Indian Journal of Dental Research",27,"6",,648,651,,2,10.4103/0970-9290.199602,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85012115868&partnerID=40&md5=16f5b71e7a22a07f8236453ef6c9ab05",Article,Final,Open Access,Scopus,2-s2.0-85012115868
"Alcaina Lorente, A., Cortés Lillo, O., Galera Sánchez, M.D., Guzmán Pina, S., Canteras Jordana, M.","57193321931; 6506151615; 57193325689; 57193320588; 7003963343","Dental decay: Influence of oral hygiene and nutritional habits in the ambience of school children | Caries dental: Influencia de los hábitos de higiene bucodental y de alimentación en niños en edad escolar",2016,"Acta Pediatrica Espanola",74,"10",,246,252,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013026960&partnerID=40&md5=0bcfef38bdd0f08e4976f48b97b93e4f",Article,Final,,Scopus,2-s2.0-85013026960
"Pereira, S.M.B., Anami, L.C., Pereira, C.A., Souza, R.O.A., Kantorski, K.Z., Bottino, M.A., Jorge, A.O.C., Valandro, L.F.","35782327100; 55325265000; 35216299100; 35084444500; 16175505800; 6603858894; 7005222026; 8316949000","Bacterial colonization in the marginal region of ceramic restorations: Effects of different cement removal methods and polishing",2016,"Operative Dentistry",41,"6",,642,654,,2,10.2341/15-206-L,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84994853819&partnerID=40&md5=6b48f1efda3b71d64f1156143f063a5f",Article,Final,,Scopus,2-s2.0-84994853819
"Kasai, M., Iijima, Y., Takemura, H., Mizoguchi, H., Ohshima, T., Satomi, N.","57192922833; 57192921205; 35305948000; 35430648400; 55753836200; 57192914376","Dental plaque assessment lifelogging system using commercial camera for oral healthcare",2016,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",2016-October,"", 7591254,2566,2569,,,10.1109/EMBC.2016.7591254,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85009070825&partnerID=40&md5=ec86743f0f69ca6fa966c32cccc32640",Conference Paper,Final,,Scopus,2-s2.0-85009070825
"López Martínez, T.M., Goettems, M.L., Azevedo, M.S., Correa, M.B., Demarco, F.F., Romano, A.R.","57194746940; 35995543800; 36701065600; 26025115300; 35600119600; 9278435200","Black stains and dental caries in Brazilian schoolchildren: a cross-sectional study",2016,"Brazilian oral research",30,"1",,e110,,,1,10.1590/1807-3107BOR-2016.vol30.0110,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021855719&partnerID=40&md5=d45e9045a5726c648952e5d866adba9e",Article,Final,Open Access,Scopus,2-s2.0-85021855719
"Asadoorian, J.","12776927400","Therapeutic oral rinsing with commercially available products: Position paper and statement from the Canadian Dental Hygienists Association",2016,"Canadian Journal of Dental Hygiene",50,"3",,126,139,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84995814179&partnerID=40&md5=3787b362cb5d51ef55c7716440602666",Article,Final,,Scopus,2-s2.0-84995814179
"Marino, P.J., Hannigan, A., Haywood, S., Cole, J.M., Palmer, N., Emanuel, C., Kinsella, T., Lewis, M.A.O., Wise, M.P., Williams, D.W.","55221367400; 6603090118; 57191608975; 23011438800; 56644249200; 26967481900; 57191620468; 7404189187; 15520286600; 7407409787","Comparison of foam swabs and toothbrushes as oral hygiene interventions in mechanically ventilated patients: A randomised split mouth study",2016,"BMJ Open Respiratory Research",3,"1", e000150,,,,4,10.1136/bmjresp-2016-000150,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992080143&partnerID=40&md5=f178724b707f714e2a673b85c0fecd42",Article,Final,Open Access,Scopus,2-s2.0-84992080143
"Acunzo, R., Limiroli, E., Pagni, G., Dudaite, A., Consonni, D., Rasperini, G.","41660910400; 57191403255; 6601924170; 57191417581; 7004588960; 6603453130","Gingival margin stability after mucogingival plastic surgery. The effect of manual versus powered toothbrushing: A randomized clinical trial",2016,"Journal of Periodontology",87,"10",,1186,1194,,6,10.1902/jop.2016.150528,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84989902460&partnerID=40&md5=8beff19d8642997d4916323145a3b38a",Article,Final,,Scopus,2-s2.0-84989902460
"Blanco, M., Pérez-Ríos, M., Santiago-Pérez, M.I., Smyth, E.","57191483743; 18438315500; 18438312300; 8958328700","Oral health and hygiene status in galician schoolchildren | Salud e higiene oral en los adolescentes gallegos",2016,"Anales de Pediatria",85,"4",,204,209,,2,10.1016/j.anpedi.2015.04.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930026321&partnerID=40&md5=9fd9046eff698e50ef7ac40d497d2bc6",Article,Final,,Scopus,2-s2.0-84930026321
"Xiao, J., Moon, Y., Li, L., Rustchenko, E., Wakabayashi, H., Zhao, X., Feng, C., Gill, S.R., McLaren, S., Malmstrom, H., Ren, Y., Quivey, R., Koo, H., Kopycka-Kedzierawski, D.T.","56420442700; 57191657679; 57191668879; 6602892757; 7202357207; 56668057800; 16244898700; 7202284767; 57186332900; 7004699999; 19934744100; 7003825799; 57146510700; 6507746629","Candida Albicans carriage in children with severe early childhood caries (S-ECC) and maternal relatedness",2016,"PLoS ONE",11,"10", 164242,,,,21,10.1371/journal.pone.0164242,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992409519&partnerID=40&md5=84b613350d05830365874b0a820276e7",Article,Final,Open Access,Scopus,2-s2.0-84992409519
"Sahin, O., Koroglu, A., Dede, D.Ö., Yilmaz, B.","55536007500; 26647647500; 36245912800; 35583824600","Effect of surface sealant agents on the surface roughness and color stability of denture base materials",2016,"Journal of Prosthetic Dentistry",116,"4",,610,616,,4,10.1016/j.prosdent.2016.03.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84970023650&partnerID=40&md5=47ae8f8360aab47acc3cf4f2147b0fb8",Article,Final,,Scopus,2-s2.0-84970023650
"Klug, B., Santigli, E., Westendorf, C., Tangl, S., Wimmer, G., Grube, M.","53877857900; 24598190400; 37076371200; 6602640948; 7003924672; 7006877392","From mouth to model: Combining in vivo and in vitro oral biofilm growth",2016,"Frontiers in Microbiology",7,"SEP", 1448,,,,8,10.3389/fmicb.2016.01448,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84994048844&partnerID=40&md5=d0baaf517dfc728795ac70613ca94a16",Article,Final,Open Access,Scopus,2-s2.0-84994048844
"de Silva, A.M., Hegde, S., Akudo Nwagbara, B., Calache, H., Gussy, M.G., Nasser, M., Morrice, H.R., Riggs, E., Leong, P.M., Meyenn, L.K., Yousefi-Nooraie, R.","56668441500; 57191172888; 55573036300; 6507254644; 14053866300; 34571813700; 57191167401; 23995911300; 7005927873; 57191170771; 55967618000","Community-based population-level interventions for promoting child oral health",2016,"Cochrane Database of Systematic Reviews",2016,"9", CD009837,,,,18,10.1002/14651858.CD009837.pub2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84987754733&partnerID=40&md5=0d6d8fb9ca9778dd8a5882c5785b1fe1",Review,Final,,Scopus,2-s2.0-84987754733
"Yoshitani, T., Ogata, M., Yatani, K.","57191541743; 55438395100; 55926070600","LumiO: A plaque-aware toothbrush",2016,"UbiComp 2016 - Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing",,"",,605,615,,1,10.1145/2971648.2971704,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84991467121&partnerID=40&md5=2b99e4dfdfa49f7e452529008a501d1b",Conference Paper,Final,,Scopus,2-s2.0-84991467121
"Khokhar, M.A., Khokhar, W.A., Clifton, A.V., Tosh, G.E.","57191073968; 23477813700; 35848244700; 6505870818","Oral health education (advice and training) for people with serious mental illness",2016,"Cochrane Database of Systematic Reviews",2016,"9", CD008802,,,,3,10.1002/14651858.CD008802.pub3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84986250555&partnerID=40&md5=6388c95759faff7cc291f2fdadd96bae",Review,Final,,Scopus,2-s2.0-84986250555
"Rodrigues, A.P., Matias, F., Ferreira, M.M.","57096193400; 57190283227; 57190287089","Tooth brushing at school and reduction on dental plaque: Evaluation of the effectiveness of an Oral Health project | Escovagem de dentes em ambiente escolar e redução do índice de placa bacteriana: avaliação da efetividade de um projeto de saúde oral",2016,"Revista Portuguesa de Saude Publica",34,"3",,244,249,,,10.1016/j.rpsp.2016.06.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978884605&partnerID=40&md5=9a0092d5e79b31ba8216baa7b84fb138",Article,Final,Open Access,Scopus,2-s2.0-84978884605
"Joury, E., Alghadban, M., Elias, K., Bedi, R.","38861666700; 57199327778; 7003588030; 55641373400","Impact of providing free preventive dental products without health workers' counselling on infants' tooth-brushing and bottle-feeding termination practices: a randomised controlled trial",2016,"Community dental health",33,"3",,213,217,,2,10.1922/CDH_3841Joury05,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037858302&partnerID=40&md5=b023c9612374459f04c969b2b8106ff4",Article,Final,,Scopus,2-s2.0-85037858302
"Liébana, J., García-Casas, V., Liébana-Cabanillas, F., Arias-Moliz, M.-T.","7003729657; 57201613021; 55151541700; 24340654700","Prevalence of the colonization of Helicobacter pylori among students of the school of dentistry, University of Granada, Spain",2016,"Medicina Oral Patologia Oral y Cirugia Bucal",21,"5", 21167,e573,e578,,,10.4317/medoral.21167,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84985957045&partnerID=40&md5=5045ec330ebd0a0db915979a35e0356c",Article,Final,Open Access,Scopus,2-s2.0-84985957045
"Bradna, P., Vrbova, R., Fialova, V., Housova, D., Gojisova, E.","7003705884; 26535168200; 57003244400; 19334637200; 7801397401","Formation of protective deposits by anti-erosive toothpastes—A microscopic study on enamel with artificial defects",2016,"Scanning",38,"5",,380,388,,2,10.1002/sca.21281,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84990187609&partnerID=40&md5=f2d7148ce01c35dc2d764d9aee8957a6",Article,Final,Open Access,Scopus,2-s2.0-84990187609
"Quinlan, K.","56085311800","Does floss have a future?",2016,"British Dental Journal",221,"4",,152,153,,,10.1038/sj.bdj.2016.588,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84984662551&partnerID=40&md5=2218ce799e652ad536844865e7322758",Note,Final,,Scopus,2-s2.0-84984662551
"Akwagyiram, I., Butler, A., Maclure, R., Colgan, P., Yan, N., Bosma, M.L.","57190860246; 57206379110; 55937532400; 7006797739; 57190854283; 7005587262","A randomised clinical trial to evaluate the effect of a 67 % sodium bicarbonate-containing dentifrice on 0.2 % chlorhexidine digluconate mouthwash tooth staining",2016,"BMC Oral Health",16,"1", 79,,,,3,10.1186/s12903-016-0271-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84983544026&partnerID=40&md5=78c17ecd5b847739c33b5b05536dee71",Article,Final,Open Access,Scopus,2-s2.0-84983544026
"Schmalz, G., Kauffels, A., Kollmar, O., Slotta, J.E., Vasko, R., Müller, G.A., Haak, R., Ziebolz, D.","57188827221; 26640507200; 6602827312; 6603391420; 24470456100; 35467521800; 7005060383; 18435587400","Oral behavior, dental, periodontal and microbiological findings in patients undergoing hemodialysis and after kidney transplantation",2016,"BMC Oral Health",16,"1", 72,,,,12,10.1186/s12903-016-0274-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84982161400&partnerID=40&md5=264696a65c09b06e015504d0967fdcd2",Article,Final,Open Access,Scopus,2-s2.0-84982161400
"Dos Santos, F.G., Aguiar, Y.P.C., Cavalcanti, A.F.C., Fernandes, L.H.F., Macedo, R.F., De Sousa, D.P., Cavalcanti, A.L.","57190817787; 56069960500; 36553532200; 57190805077; 56459754900; 57190811174; 57204648353","Assessment of oral hygiene level and periodontal condition in Brazilian adolescents",2016,"Pesquisa Brasileira em Odontopediatria e Clinica Integrada",16,"1",,207,217,,2,10.4034/PBOCI.2016.161.22,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84983344813&partnerID=40&md5=4a1c8dc7485b456b541e5dd5775f807d",Article,Final,Open Access,Scopus,2-s2.0-84983344813
"García-Carrillo, A., Jover, A., Plá, R., Martorell, A., Sota, C., Gómez-Moreno, G., Figuero, E., Sanz, M., Herrera, D.","57195464909; 57195459054; 57195464456; 22135493400; 57195462506; 6506394240; 57192406952; 7201640876; 7005899557","Manual versus sonic powered toothbrushing in patients with intellectual disability: a cluster-randomized clinical trial",2016,"Journal of Clinical Periodontology",43,"8",,684,693,,4,10.1111/jcpe.12567,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028273961&partnerID=40&md5=99834ae10db317fe080689b4251687e2",Article,Final,,Scopus,2-s2.0-85028273961
